,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
0,1,Bitcoin,BTC,bitcoin,9747,2013-04-28T00:00:00.000Z,21000000.0,18596825.0,18596825.0,,1,36879.86458253049,79448280993.27394,-4.17062327,-9.46465197,12.83371557,685848387665.0176
1,1027,Ethereum,ETH,ethereum,5947,2015-08-07T00:00:00.000Z,,114200383.749,114200383.749,,2,1196.9983573740908,39319995693.84445,-5.53344223,-7.43029936,22.44748487,136697671759.04381
2,825,Tether,USDT,tether,9889,2015-02-25T00:00:00.000Z,,24271812724.63423,24781627122.352524,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,0.9997187185141,134166239392.56393,-0.04581214,-0.22123527,-0.02321609,24264985513.08556
3,52,XRP,XRP,xrp,684,2013-08-04T00:00:00.000Z,100000000000.0,45404028640.0,99990831162.0,,4,0.30253658734287,9538568560.57993,-4.77453503,-9.3124901,32.80259709,13736379876.36353
4,2,Litecoin,LTC,litecoin,749,2013-04-28T00:00:00.000Z,84000000.0,66245617.91134237,66245617.91134237,,5,164.49360496246763,12313763963.138248,-4.04883725,-7.70801626,3.45372559,10896980503.20292
5,1831,Bitcoin Cash,BCH,bitcoin-cash,597,2017-07-23T00:00:00.000Z,21000000.0,18600862.5,18600862.5,,6,577.0025795228595,17837637595.15741,-5.21779231,1.45963002,36.77813572,10732745643.850025
6,2010,Cardano,ADA,cardano,224,2017-10-01T00:00:00.000Z,45000000000.0,31112484646.0,45000000000.0,,7,0.2939519771667,3840855330.981973,-3.8287162,-11.48875535,36.12299981,9145576376.260298
7,6636,Polkadot,DOT,polkadot-new,113,2020-08-19T00:00:00.000Z,,898568228.5270436,1032627446.2180135,,8,8.90970671200315,1606672155.7106168,-4.45422408,-9.87907572,-12.95517417,8005979376.90018
8,1975,Chainlink,LINK,chainlink,434,2017-09-20T00:00:00.000Z,1000000000.0,400509556.4344444,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",9,15.4340334817186,2869087329.4910264,-4.87616757,-15.48519997,9.39818466,6181477903.757481
9,512,Stellar,XLM,stellar,337,2014-08-05T00:00:00.000Z,50001806812.0,22034677781.0723,50001803558.87172,,10,0.27105314145618,1846200889.335163,-6.41571408,-14.0299539,87.8883422,5972568633.534336
10,1839,Binance Coin,BNB,binance-coin,467,2017-07-25T00:00:00.000Z,176406561.0,144406560.9,176406560.9,,11,41.17169051427699,668025581.7438761,-3.28496605,-7.63162085,-1.26303075,5945462233.605892
11,3408,USD Coin,USDC,usd-coin,656,2018-10-08T00:00:00.000Z,,4715343409.93791,4800302148.143765,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",12,1.00016715998651,1912822460.0720637,0.01413658,0.0311512,0.04294958,4716131626.678705
12,3602,Bitcoin SV,BSV,bitcoin-sv,219,2018-11-09T00:00:00.000Z,21000000.0,18621782.89423905,18621782.89423905,,13,238.85925651291504,4014349888.000507,-6.30160831,-17.96346349,36.28249187,4447985217.062859
13,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,94,2019-01-30T00:00:00.000Z,21000000.0,115710.93990667,115710.93990667,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2260fac5e5542a773aa44fbcfedf7c193bc2c599'}",14,36977.23035332168,203233954.0418896,-3.63704002,-9.05581919,12.81670157,4278670079.3282986
14,328,Monero,XMR,monero,186,2014-05-21T00:00:00.000Z,,17809857.87504328,17809857.87504328,,15,175.30105549350637,2331138960.471788,-7.29615266,16.86490424,24.0884298,3122086883.6844234
15,1765,EOS,EOS,eos,474,2017-07-01T00:00:00.000Z,,939365991.9654,1026066003.3362,,16,2.93246946098295,8546471783.602796,-5.46772525,-22.84609756,1.28778972,2754662084.1244903
16,1958,TRON,TRX,tron,483,2017-09-13T00:00:00.000Z,,71659657369.49,100850743811.66246,,17,0.03168776981868,2115261947.8238819,-3.9840374,-11.68979246,0.46317713,2270734728.0098753
17,873,NEM,XEM,nem,101,2015-04-01T00:00:00.000Z,8999999999.0,8999999999.0,8999999999.0,,18,0.22211940747004,126107771.46157175,-5.6025174,-8.81518729,7.41260566,1999074667.0082405
18,2011,Tezos,XTZ,tezos,163,2017-10-06T00:00:00.000Z,,756406591.33214,756406591.33214,,19,2.61057822365212,597135553.4882126,-6.40513647,-6.77947163,18.27811202,1974658575.5586128
19,2416,THETA,THETA,theta,42,2018-01-17T00:00:00.000Z,1000000000.0,1000000000.0,1000000000.0,,20,1.88909359270697,109668218.6110281,-5.28157719,-9.03623689,-12.75477875,1889093592.70697
20,1376,Neo,NEO,neo,273,2016-09-08T00:00:00.000Z,100000000.0,70538831.0,100000000.0,,21,24.15576858860029,2061680978.8095994,-3.13643186,8.65596487,46.93118968,1703919678.1463842
21,3635,Crypto.com Coin,CRO,crypto-com-coin,103,2018-12-14T00:00:00.000Z,100000000000.0,22620091322.86759,100000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b'}",22,0.07438337538464,91358685.8117946,-4.48598485,-12.0672272,25.34832923,1682558744.103698
22,3077,VeChain,VET,vechain,120,2017-08-22T00:00:00.000Z,86712634466.0,64315576989.0,86712634466.0,,23,0.02584147796814,426072456.75031066,-5.01864785,-11.6217242,-0.69153574,1662009565.7694554
23,7083,Uniswap,UNI,uniswap,179,2020-09-17T00:00:00.000Z,1000000000.0,269772719.6729146,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984'}",24,5.79145662524154,2300877626.4834685,-3.80052038,-9.04708984,5.41414314,1562377004.65913
24,2586,Synthetix,SNX,synthetix-network-token,154,2018-03-14T00:00:00.000Z,212424133.0,110519344.85591938,211692890.57050416,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f'}",25,13.36581703051464,319480363.4947933,-6.25621733,-2.56854238,34.65773607,1477181341.6765678
25,7278,Aave,AAVE,aave,142,2020-10-02T00:00:00.000Z,16000000.0,12116900.20501971,16000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9'}",26,118.07844748719162,521953549.9456339,-6.53968397,-0.55248643,18.40669914,1430744764.5659614
26,4943,Dai,DAI,multi-collateral-dai,355,2019-11-22T00:00:00.000Z,,1423718805.7936702,1423718831.6138153,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b175474e89094c44da98b954eedeac495271d0f'}",27,0.99943082184611,467235995.0432865,-0.03742171,-0.19154688,-0.15626331,1422908456.1521301
27,1518,Maker,MKR,maker,182,2017-01-29T00:00:00.000Z,1005577.0,996262.07543772,996262.07543772,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2'}",28,1393.3324000296086,599970565.2477313,-8.4044939,-16.66974089,107.81923177,1388124228.6281176
